장소명,지역,도/시
경포해변,강릉,강원도
정동진,강릉,강원도
주문진해변,강릉,강원도
오죽헌,강릉,강원도
선교장,강릉,강원도
강릉커피거리,강릉,강원도
춘천,춘천,강원도
남이섬,춘천,강원도
소양호,춘천,강원도
춘천닭갈비거리,춘천,강원도
속초,속초,강원도
설악산,속초,강원도
속초해변,속초,강원도
영월,영월,강원도
동강,영월,강원도
평창,평창,강원도
휘닉스파크,평창,강원도
알펜시아,평창,강원도
홍천,홍천,강원도
양양,양양,강원도
낙산해변,양양,강원도
서울,서울,서울
강남,서울,서울
홍대,서울,서울
명동,서울,서울
동대문,서울,서울
이태원,서울,서울
한강공원,서울,서울
남산타워,서울,서울
경복궁,서울,서울
창덕궁,서울,서울
부산,부산,부산
해운대,부산,부산
광안리,부산,부산
감천문화마을,부산,부산
태종대,부산,부산
용두산공원,부산,부산
부산타워,부산,부산
국제시장,부산,부산
남포동,부산,부산
제주도,제주,제주도
성산일출봉,제주,제주도
만장굴,제주,제주도
천지연폭포,제주,제주도
한라산,제주,제주도
성산일출봉,제주,제주도
우도,제주,제주도
마라도,제주,제주도
성산일출봉,제주,제주도
협재해변,제주,제주도
금능해변,제주,제주도
중문관광단지,제주,제주도
대구,대구,대구
동성로,대구,대구
수성못,대구,대구
팔공산,대구,대구
인천,인천,인천
인천공항,인천,인천
월미도,인천,인천
송도,인천,인천
광주,광주,광주
무등산,광주,광주
대전,대전,대전
엑스포과학공원,대전,대전
울산,울산,울산
울산대교,울산,울산
세종,세종,세종
세종호수공원,세종,세종
강남역,서울,서울
홍대입구,서울,서울
명동역,서울,서울
동대문역사문화공원,서울,서울
이태원역,서울,서울
한강대교,서울,서울
남산서울타워,서울,서울
N서울타워,서울,서울
경복궁역,서울,서울
창덕궁역,서울,서울
종로,서울,서울
광화문,서울,서울
덕수궁,서울,서울
창경궁,서울,서울
북촌한옥마을,서울,서울
삼청동,서울,서울
인사동,서울,서울
해운대해수욕장,부산,부산
광안대교,부산,부산
감천문화마을,부산,부산
태종대공원,부산,부산
서면,부산,부산
부산역,부산,부산
제주공항,제주,제주도
제주국제공항,제주,제주도
성산일출봉,제주,제주도
천지연폭포,제주,제주도
협재해변,제주,제주도
금능해변,제주,제주도
중문관광단지,제주,제주도
경포해변,강릉,강원도
정동진해변,강릉,강원도
주문진해변,강릉,강원도
강릉커피거리,강릉,강원도
춘천닭갈비거리,춘천,강원도
남이섬,춘천,강원도
소양호,춘천,강원도
설악산국립공원,속초,강원도
속초해변,속초,강원도
동강,영월,강원도
휘닉스파크,평창,강원도
알펜시아리조트,평창,강원도
낙산해변,양양,강원도
동성로,대구,대구
수성못,대구,대구
팔공산,대구,대구
인천공항,인천,인천
월미도공원,인천,인천
송도국제도시,인천,인천
무등산,광주,광주
엑스포과학공원,대전,대전
울산대교,울산,울산
세종호수공원,세종,세종 
